sp2 1
sp3 2
sp4 1
sp5 1
sp6 1
sp7 2
sp8 3
sp9 2
sp10 2
sp12 2
sp14 1
sp17 1
sp19 1
sp20 3
sp21 1
sp22 1
sp23 1
sp24 3
sp25 1
sp27 3
sp29 2
sp30 2
sp31 1
sp32 1
sp33 1
sp34 1
sp35 3
sp36 2
sp37 1
sp38 1
sp39 3
sp40 1
sp41 2
sp42 1
sp43 1
sp44 2
sp45 3
sp46 1
sp47 1
sp48 1
sp49 1
sp50 1
sp51 3
sp52 2
sp53 1
sp54 1
sp55 1
sp56 3
sp57 2
sp58 1
sp59 1
sp60 1
sp61 1
sp62 1
sp64 1
sp65 3
sp66 1
sp67 3
sp68 1
sp69 1
sp70 1
sp71 1
sp72 1
sp73 2
sp74 2
sp75 1
sp76 3
sp77 1
sp78 1
sp79 2
sp80 1
sp81 1
sp82 2
sp83 2
sp84 1
sp85 2
sp86 1
sp88 2
sp89 3
sp90 2
sp91 2
sp92 1
sp93 1
sp95 2
sp96 2
sp98 2
sp99 3
sp100 3
sp101 3
sp102 1
sp103 2
sp104 2
sp105 1
sp106 2
sp107 1
sp108 1
sp109 1
sp110 3
sp111 1
sp112 3
sp113 1
sp114 1
sp116 1
sp117 3
sp118 1
sp119 1
sp120 3
sp121 1
sp122 1
sp123 2
sp124 2
sp126 1
sp127 1
sp128 1
sp129 2
sp130 2
sp131 3
sp132 2
sp133 2
sp134 3
sp135 1
sp136 2
sp137 3
sp138 1
sp139 2
sp140 1
sp141 3
sp142 1
sp143 2
sp144 2
sp145 3
sp146 1
sp147 3
sp148 1
sp149 3
sp150 3
sp151 3
sp152 3
sp153 3
sp154 3
sp155 1
sp156 3
sp157 3
sp158 3
sp159 3
sp160 3
sp161 3
sp162 1
sp163 3
sp164 3
sp165 2
sp166 2
sp167 3
sp168 1
sp169 3
sp170 3
sp171 3
sp172 3
sp173 3
sp174 2
sp175 2
sp176 2
sp177 2
sp178 3
sp179 3
sp180 3
sp181 1
sp182 3
sp183 3
sp184 2
sp185 2
sp186 2
sp187 2
sp188 3
sp189 3
sp190 3
sp191 3
sp192 2
sp193 2
sp194 2
sp195 1
sp196 3
sp197 2
sp198 2
sp199 3
sp200 3
sp201 3
sp202 2
sp203 2
sp204 2
sp205 2
sp206 2
sp207 2
sp208 2
sp209 3
sp210 3
sp211 2
sp212 2
sp213 3
sp214 3
sp215 1
sp216 3
sp217 3
sp218 3
sp219 3
sp220 3
sp221 3
sp222 3
sp223 3
sp224 3
sp225 3
sp226 1
sp227 1
sp228 3
sp229 3
fgsp1 1
fgsp3 2
fgsp4 1
fgsp5 1
fgsp6 3
fgsp7 3
fgsp8 3
fgsp9 1
fgsp10 2
fgsp11 1
fgsp12 1
fgsp13 3
fgsp14 3
fgsp15 1
fgsp16 1
fgsp17 2
fgsp18 3
fgsp19 1
fgsp20 2
fgsp21 1
fgsp22 1
fgsp23 3
fgsp24 3
fgsp25 1
fgsp26 3
fgsp27 1
fgsp28 1
fgsp29 1
fgsp30 2
fgsp31 2
fgsp32 3
fgsp33 1
fgsp34 1
fgsp35 1
fgsp36 3
fgsp37 2
fgsp38 1
fgsp39 3
fgsp40 3
fgsp41 3
fgsp42 2
fgsp43 2
fgsp44 1
fgsp45 3
fgsp46 1
fgsp47 3
fgsp48 1
fgsp49 1
fgsp50 2
fgsp51 1
fgsp52 3
fgsp53 1
fgsp54 2
fgsp55 2
